P (bars),Gas_wt,wH2O,wH2,wO2,wCO2,wCO,wCH4,wSO2,wH2S,wS2,wN2,,,
10546.82,7.17E-09,0.010422,6.18E-06,2.23E-12,0.966351,0.0224779,3.69E-09,0.000635483,6.47E-05,4.26E-05,0,,,
10546.32,7.17E-09,0.010423,6.18E-06,2.23E-12,0.96635,0.0224781,3.69E-09,0.000635506,6.47E-05,4.26E-05,0,,,
10545.82,7.17E-09,0.010424,6.18E-06,2.23E-12,0.966349,0.0224782,3.69E-09,0.000635529,6.47E-05,4.26E-05,0,,,
10545.32,7.17E-09,0.010425,6.18E-06,2.23E-12,0.966348,0.0224784,3.70E-09,0.000635552,6.47E-05,4.26E-05,0,,,
10544.82,7.17E-09,0.0104259,6.18E-06,2.23E-12,0.966346,0.0224786,3.70E-09,0.000635575,6.47E-05,4.26E-05,0,,,
10544.32,7.17E-09,0.0104269,6.18E-06,2.23E-12,0.966345,0.0224787,3.70E-09,0.000635598,6.47E-05,4.26E-05,0,,,
10543.82,7.17E-09,0.0104279,6.18E-06,2.23E-12,0.966344,0.0224789,3.70E-09,0.000635622,6.47E-05,4.26E-05,0,,,
10543.32,7.17E-09,0.0104289,6.18E-06,2.23E-12,0.966343,0.022479,3.70E-09,0.000635645,6.47E-05,4.26E-05,0,,,
10542.82,7.17E-09,0.0104299,6.18E-06,2.23E-12,0.966342,0.0224792,3.70E-09,0.000635668,6.47E-05,4.26E-05,0,,,
10542.32,7.17E-09,0.0104309,6.18E-06,2.23E-12,0.966341,0.0224793,3.70E-09,0.000635691,6.47E-05,4.26E-05,0,,,
10541.82,7.17E-09,0.0104319,6.18E-06,2.23E-12,0.966339,0.0224795,3.70E-09,0.000635714,6.47E-05,4.26E-05,0,,,
10541.32,7.17E-09,0.0104329,6.18E-06,2.23E-12,0.966338,0.0224796,3.70E-09,0.000635737,6.48E-05,4.26E-05,0,,,
10540.82,7.17E-09,0.0104338,6.19E-06,2.23E-12,0.966337,0.0224798,3.70E-09,0.000635761,6.48E-05,4.26E-05,0,,,
10540.32,7.17E-09,0.0104348,6.19E-06,2.23E-12,0.966336,0.0224799,3.70E-09,0.000635784,6.48E-05,4.26E-05,0,,,
10539.82,7.17E-09,0.0104358,6.19E-06,2.23E-12,0.966335,0.0224801,3.70E-09,0.000635807,6.48E-05,4.26E-05,0,,,
10539.32,7.17E-09,0.0104368,6.19E-06,2.23E-12,0.966334,0.0224803,3.70E-09,0.00063583,6.48E-05,4.26E-05,0,,,
